Date,Open,High,Low,Close,Adj Close,Volume
2020-03-03,30.000000,31.350000,29.850000,31.000000,30.680088,20595361
2020-03-04,31.100000,31.200001,29.850000,30.650000,30.333700,18105957
2020-03-05,30.900000,31.400000,29.950001,30.700001,30.383184,20609801
2020-03-06,29.700001,29.700001,28.950001,29.549999,29.245050,16052493
2020-03-09,28.799999,28.850000,27.049999,27.200001,26.919304,21890315
2020-03-11,27.450001,28.700001,27.200001,27.549999,27.265690,30448084
2020-03-12,26.000000,26.600000,24.000000,24.150000,23.900778,35581815
2020-03-13,22.200001,26.400000,18.400000,25.950001,25.682201,39258475
2020-03-16,24.350000,25.750000,23.299999,23.700001,23.455421,26300859
2020-03-17,24.049999,25.350000,23.000000,23.200001,22.960583,23765865
2020-03-18,23.549999,24.400000,22.400000,23.350000,23.109035,27058510
2020-03-19,22.450001,23.600000,21.799999,22.500000,22.267807,27935085
2020-03-20,22.950001,23.950001,22.049999,23.450001,23.208002,41569603
2020-03-23,21.500000,21.750000,20.049999,20.150000,19.942057,15468456
2020-03-24,21.000000,21.250000,19.500000,20.000000,19.793604,20665278
2020-03-25,20.000000,20.200001,19.150000,19.850000,19.645153,14159048
2020-03-26,20.049999,21.100000,19.450001,20.600000,20.387413,18641891
2020-03-27,21.400000,21.900000,20.150000,20.350000,20.139994,22363767
2020-03-30,20.250000,20.600000,19.650000,20.200001,19.991543,13042664
2020-03-31,20.700001,21.150000,20.200001,20.799999,20.585348,20143889
2020-04-01,20.650000,21.200001,20.400000,20.700001,20.486382,15999704
2020-04-03,21.150000,21.200001,20.400000,20.650000,20.436895,14723818
2020-04-07,21.049999,21.450001,20.850000,21.299999,21.080189,18389888
2020-04-08,21.200001,22.650000,20.950001,21.250000,21.030704,28424361
2020-04-09,21.650000,22.650000,21.400000,22.350000,22.119354,28487889
2020-04-13,23.150000,23.350000,21.850000,22.000000,21.772964,36316250
2020-04-15,22.350000,23.150000,21.299999,21.450001,21.228642,40178021
2020-04-16,21.450001,21.900000,21.150000,21.700001,21.476061,27540736
2020-04-17,22.600000,22.600000,21.500000,21.850000,21.624514,29739937
2020-04-20,22.000000,23.150000,21.600000,22.549999,22.317287,53220401
2020-04-21,22.250000,22.250000,21.549999,21.700001,21.476061,23711207
2020-04-22,21.600000,21.850000,20.900000,21.350000,21.129675,24357462
2020-04-23,21.600000,21.850000,21.200001,21.400000,21.179155,19335932
2020-04-24,21.100000,21.400000,20.600000,20.650000,20.436895,20109013
2020-04-27,20.950001,20.950001,20.400000,20.650000,20.436895,16346387
2020-04-28,20.750000,21.150000,20.650000,20.950001,20.733801,15589273
2020-04-29,21.000000,21.350000,20.850000,20.950001,20.733801,19732006
2020-04-30,21.299999,22.900000,21.150000,22.450001,22.218323,56260375
2020-05-04,21.700001,24.850000,20.900000,23.500000,23.257486,145551259
2020-05-05,24.650000,24.650000,22.600000,22.900000,22.663677,93115983
2020-05-06,23.049999,23.400000,22.750000,23.000000,22.762646,48709097
2020-05-07,22.900000,23.299999,22.750000,23.049999,22.812130,52075536
2020-05-08,23.350000,23.500000,21.799999,22.200001,21.970903,43617415
2020-05-11,22.549999,23.000000,22.100000,22.549999,22.317287,28659570
2020-05-12,22.400000,22.400000,21.400000,21.500000,21.278126,42068689
2020-05-13,23.100000,27.150000,22.150000,26.600000,26.325495,309684441
2020-05-14,26.900000,29.250000,25.000000,27.450001,27.166723,247689523
2020-05-15,27.500000,28.250000,27.000000,27.299999,27.018270,88420870
2020-05-18,27.700001,28.450001,25.850000,26.049999,25.781170,90733008
2020-05-19,26.400000,26.549999,25.299999,25.400000,25.137877,50207014
2020-05-20,25.100000,26.600000,25.000000,25.950001,25.682201,59552678
2020-05-21,26.000000,26.250000,25.299999,25.549999,25.286329,42185317
2020-05-22,25.400000,25.549999,24.150000,24.549999,24.296648,43983000
2020-05-26,25.000000,25.450001,24.350000,24.850000,24.593554,41215567
2020-05-27,25.250000,25.350000,24.750000,25.200001,24.939943,38437471
2020-05-28,25.400000,27.250000,25.150000,26.850000,26.572914,99108821
2020-05-29,26.799999,28.450001,26.150000,28.000000,27.711046,105110971
2020-06-01,28.400000,29.000000,27.700001,28.000000,27.711046,55551873
2020-06-02,28.200001,28.549999,27.450001,28.000000,27.711046,40754934
2020-06-03,28.200001,28.750000,27.400000,27.700001,27.414143,48884133
2020-06-04,27.900000,28.049999,26.400000,26.799999,26.523428,48000538
2020-06-05,27.000000,27.950001,26.900000,27.750000,27.463627,50338792
2020-06-08,28.549999,28.750000,27.549999,27.950001,27.661562,51859308
2020-06-09,28.250000,31.450001,27.799999,30.650000,30.333700,157992928
2020-06-10,31.500000,32.400002,30.549999,31.299999,30.976990,136015328
2020-06-11,30.799999,32.299999,29.750000,30.000000,29.690407,79479200
2020-06-12,28.400000,31.799999,28.250000,31.400000,31.075958,73158497
2020-06-15,29.250000,30.600000,28.500000,29.100000,28.799694,103034367
2020-06-16,29.900000,30.000000,27.600000,28.350000,28.057436,62614476
2020-06-17,28.299999,28.650000,27.350000,27.450001,27.166723,69099047
2020-06-18,28.650000,32.150002,28.500000,31.750000,31.422348,250945739
2020-06-19,32.650002,33.000000,31.750000,32.450001,32.115124,101028508
2020-06-22,32.950001,34.900002,32.250000,33.650002,33.302742,91763294
2020-06-23,34.099998,35.400002,33.700001,34.900002,34.539841,91398846
2020-06-24,36.000000,39.799999,35.599998,36.349998,35.974876,215400090
2020-06-25,36.299999,38.500000,35.549999,37.849998,37.459396,144564546
2020-06-26,38.700001,38.700001,36.500000,36.900002,36.519203,90479816
2020-06-29,36.200001,36.799999,35.349998,35.750000,35.381069,46339601
2020-06-30,36.599998,37.799999,35.000000,35.700001,35.331585,81189594
2020-07-01,36.299999,36.700001,35.400002,36.049999,35.677971,47292064
2020-07-02,37.000000,37.150002,36.400002,36.700001,36.321266,38221106
2020-07-03,37.000000,39.000000,36.650002,38.650002,38.251144,144291268
2020-07-06,39.049999,44.400002,38.799999,43.549999,43.100574,253712372
2020-07-07,43.750000,44.099998,42.200001,42.549999,42.110893,111716827
2020-07-08,42.500000,43.049999,41.000000,41.250000,40.824310,62357476
2020-07-09,41.799999,43.099998,41.250000,42.049999,41.616055,58888933
2020-07-10,42.150002,42.450001,41.150002,41.400002,40.972763,34700995
2020-07-13,42.450001,43.000000,41.799999,42.599998,42.160378,44799983
2020-07-14,41.950001,41.950001,38.500000,38.900002,38.498562,126699442
2020-07-15,39.500000,39.900002,36.349998,36.799999,36.420231,68980710
2020-07-16,37.500000,38.150002,36.150002,36.900002,36.519203,68663539
2020-07-17,36.900002,39.150002,36.799999,38.349998,37.954235,78864096
2020-07-20,38.750000,39.049999,37.799999,38.000000,37.607849,27201922
2020-07-21,38.500000,38.599998,37.700001,38.000000,37.607849,24120376
2020-07-22,38.299999,38.950001,37.500000,38.000000,37.607849,39542598
2020-07-23,37.900002,38.299999,37.599998,37.700001,37.310944,14881157
2020-07-24,37.400002,37.700001,36.599998,36.900002,36.519203,20980042
2020-07-27,36.900002,36.900002,35.799999,36.200001,35.826424,25408696
2020-07-28,36.099998,37.700001,35.900002,37.450001,37.063526,37075100
2020-07-29,37.400002,40.099998,37.349998,38.450001,38.053204,99005391
2020-07-30,38.799999,39.000000,36.450001,36.799999,36.420231,48846295
2020-07-31,36.799999,36.950001,35.750000,35.950001,35.579006,37100469
2020-08-03,36.150002,36.849998,35.700001,36.200001,35.826424,34937296
2020-08-04,36.450001,37.450001,36.000000,36.650002,36.271782,34061980
2020-08-05,36.849998,37.150002,36.450001,36.700001,36.321266,19603899
2020-08-06,36.750000,37.049999,35.500000,35.700001,35.331585,37611238
2020-08-07,35.400002,35.549999,34.750000,35.250000,34.886230,33940209
2020-08-10,36.000000,37.650002,35.849998,36.250000,35.875908,60884632
2020-08-11,36.599998,36.750000,35.599998,35.750000,35.381069,38272571
2020-08-12,36.200001,36.650002,35.900002,36.049999,35.677971,51044859
2020-08-13,36.500000,39.549999,36.200001,38.950001,38.548046,128231852
2020-08-14,39.200001,39.450001,36.700001,37.349998,36.964554,51951333
2020-08-17,37.900002,37.900002,36.700001,37.000000,36.618172,20972682
2020-08-18,37.200001,37.700001,37.099998,37.450001,37.063526,15728683
2020-08-19,37.750000,38.650002,37.700001,38.000000,37.607849,30237082
2020-08-20,37.549999,39.700001,37.200001,38.500000,38.102688,52180373
2020-08-21,39.450001,41.950001,39.200001,40.650002,40.230503,179881928
2020-08-24,41.500000,42.400002,40.650002,40.900002,40.477924,47777042
2020-08-25,41.000000,41.150002,39.599998,40.000000,39.587208,35938488
2020-08-26,40.000000,40.599998,39.400002,39.950001,39.537724,35170066
2020-08-27,40.000000,40.900002,39.049999,39.200001,38.795467,56210754
2020-08-28,40.250000,42.099998,40.099998,41.650002,41.220181,133646824
2020-08-31,42.049999,42.450001,38.000000,38.549999,38.152172,108963300
2020-09-01,39.000000,39.549999,37.349998,38.549999,38.152172,53806439
2020-09-02,38.900002,39.400002,38.049999,39.150002,38.745983,39483515
2020-09-03,39.150002,40.400002,38.750000,40.000000,39.587208,44237336
2020-09-04,38.950001,39.849998,38.500000,38.700001,38.300629,50939480
2020-09-07,38.950001,39.150002,38.150002,38.450001,38.053204,19331457
2020-09-08,38.349998,38.799999,37.000000,37.500000,37.113010,21977011
2020-09-09,37.099998,37.200001,35.599998,36.500000,36.123329,36060255
2020-09-10,37.000000,37.299999,36.349998,37.049999,36.667652,18326939
2020-09-11,37.349998,37.849998,37.000000,37.099998,36.717133,18819257
2020-09-14,36.200001,37.450001,36.000000,36.250000,35.875908,37783051
2020-09-15,36.650002,36.650002,35.700001,35.950001,35.579006,30178571
2020-09-16,36.150002,36.150002,35.549999,35.650002,35.282101,21572296
2020-09-17,35.650002,35.700001,35.000000,35.150002,34.787262,19961461
2020-09-18,35.500000,35.750000,34.500000,34.650002,34.292423,29035181
2020-09-21,34.500000,35.549999,34.000000,34.250000,33.896549,39228186
2020-09-22,34.500000,34.549999,32.299999,32.599998,32.263573,52745087
2020-09-23,33.099998,33.299999,30.900000,31.500000,31.174929,35786278
2020-09-24,30.799999,30.950001,29.549999,29.850000,29.541956,40194059
2020-09-25,30.000000,30.450001,28.850000,30.150000,29.838860,57967582
2020-09-28,30.850000,32.250000,30.500000,31.799999,31.471830,56524500
2020-09-29,32.250000,32.349998,30.100000,30.250000,29.937826,57724724
2020-09-30,30.299999,30.450001,29.200001,29.250000,28.948147,36272660
2020-10-01,29.700001,29.900000,29.200001,29.600000,29.294535,29778644
2020-10-05,29.700001,30.000000,29.400000,29.549999,29.245050,17900218
2020-10-06,29.700001,29.799999,29.150000,29.350000,29.047115,23682155
2020-10-07,29.350000,29.400000,28.250000,28.400000,28.106918,23694997
2020-10-08,28.450001,29.500000,28.450001,29.250000,28.948147,20247543
2020-10-09,29.450001,29.450001,28.900000,29.100000,28.799694,15014180
2020-10-12,29.400000,29.400000,28.450001,28.600000,28.304855,11148456
2020-10-13,28.500000,28.650000,28.150000,28.299999,28.007950,9177795
2020-10-14,28.000000,28.150000,27.650000,27.950001,27.661562,12692593
2020-10-15,27.900000,27.900000,27.000000,27.150000,26.869818,20436290
2020-10-16,27.150000,27.450001,26.750000,27.200001,26.919304,15812870
2020-10-19,27.400000,28.850000,27.150000,28.650000,28.354338,23091815
2020-10-20,28.500000,29.250000,28.200001,28.650000,28.354338,14933119
2020-10-21,28.549999,29.100000,28.049999,28.450001,28.156404,12447760
